Label,Price_Future
0,41.48
0,43.95
2,48.71
1,35.69
2,36.66
0,45.62
1,38.29
2,37.05
2,37.81
2,42.7
2,45.01
2,46.93
0,54.83
2,56.63
2,58.6
2,57.69
1,41.98
2,42.2
2,40.52
1,36.21
0,40.42
2,39.65
0,46.15
2,47.11
2,44.99
0,53.15
0,60.15
0,64.71
2,65.89
2,69.4
2,65.19
0,67.54
0,72.35
0,80.92
1,68.35
0,71.11
0,80.35
0,36.86
1,31.69
0,37.78
0,47.12
0,54.49
2,47.3
1,42.99
1,36.93
1,29.09
1,22.55
1,19.21
1,20.79
1,13.95
1,18.81
1,7.6
0,7.79
1,6.05
2,8.14
0,10.75
2,10.25
2,9.94
1,6.9
1,6.01
2,10.89
0,11.13
0,12.5
1,11.72
0,14.48
0,17.95
2,17.47
0,21.14
0,30.02
0,39.8
0,42.16
2,39.82
0,55.69
1,41.55
1,39.63
0,46.47
1,38.88
1,32.15
2,36.36
0,39.69
0,48.0
2,46.21
0,50.0
1,47.25
0,53.07
1,44.28
2,40.02
1,32.46
0,34.98
1,28.73
2,31.24
2,30.86
1,27.64
0,349.6
0,620.05
0,1151.23
2,884.97
1,690.0
1,575.01
1,185.0
1,168.2
1,132.86
1,21.02
1,14.69
0,19.08
1,13.28
0,30.25
0,80.66
0,91.75
0,82.0
1,81.0
1,67.7
2,67.55
2,64.35
1,44.9
1,29.3
1,9.55
1,11.25
0,12.5
2,12.97
2,12.52
0,17.44
2,16.98
1,12.32
1,10.2
0,17.99
0,19.72
1,17.0
2,17.46
1,9.95
0,13.6
0,23.55
0,31.34
0,64.71
0,67.47
1,43.64
1,32.05
0,35.72
0,40.92
1,21.7
1,15.88
1,8.84
2,10.57
2,10.88
2,11.27
0,9.61
1,8.97
2,8.68
2,8.78
2,8.77
0,10.54
0,14.35
0,16.37
0,17.46
0,18.56
0,21.23
2,19.88
0,20.81
0,23.21
0,24.41
2,22.7
0,24.23
2,20.88
0,28.17
2,26.63
0,27.55
0,34.0
0,36.65
2,35.2
2,34.45
2,35.6
1,30.35
0,38.3
2,39.01
2,36.54
0,46.29
2,46.6
2,49.11
0,52.44
1,41.2
1,39.45
2,40.0
0,51.35
0,56.29
0,67.11
2,62.81
2,61.02
2,60.33
0,67.14
0,85.9
1,74.21
2,71.44
0,77.65
2,78.97
0,83.63
2,81.07
0,97.06
0,124.96
2,121.44
0,137.41
0,145.19
2,151.42
2,156.53
0,175.25
2,164.3
1,143.41
2,153.34
2,157.38
0,170.86
2,163.88
1,132.99
1,93.1
2,91.58
0,109.02
2,119.15
0,160.73
0,177.68
